Time,The_Coin_Sensor,The_Coffee_Request_Button,The_System_Mode,The_Coffee_Machine_Output,The_Request_Timer
0,false,false,1,0,0
1,true,true,0,0,0
2,false,false,0,0,0
3,true,true,0,0,0
4,true,true,0,0,0
5,false,false,0,0,0
6,false,false,0,0,0
7,true,true,0,0,0
8,true,true,0,0,0
9,true,true,0,0,0
10,false,false,0,0,0
11,false,false,0,0,0
12,false,false,0,0,0
13,true,true,0,0,0
14,true,true,0,0,0
15,false,false,0,0,0
16,true,true,0,0,0
17,true,true,0,0,0
18,true,true,0,0,0
19,true,true,0,0,0
20,false,false,0,0,0
21,true,true,0,0,0
22,true,true,0,0,0
23,true,true,0,0,0
24,true,true,0,0,0
25,true,true,0,0,0
26,true,true,0,0,0
27,true,true,0,0,0
28,true,true,0,0,0
29,false,false,0,0,0
30,false,true,3,0,0
31,false,false,3,0,0
32,true,true,3,0,0
33,true,true,3,0,0
34,false,false,3,0,0
35,true,true,3,0,0
36,false,false,3,0,0
37,false,false,3,0,0
38,false,false,3,0,0
39,false,false,3,0,0
40,false,true,1,1,0
41,true,true,0,1,0
42,false,false,0,1,0
43,true,true,0,1,0
44,true,true,0,1,0
45,false,false,0,1,0
46,false,true,3,1,0
47,false,false,3,1,0
48,false,false,3,1,0
49,true,true,3,1,0
50,true,true,3,1,0
51,false,false,3,1,0
52,true,true,3,1,0
53,true,true,3,1,0
54,false,false,3,1,0
55,false,false,3,1,0
56,false,false,1,1,0
57,true,false,0,1,0
58,false,false,0,1,0
59,true,true,0,1,0
60,false,false,0,1,0
61,true,true,0,1,0
62,true,true,0,1,0
63,true,true,0,1,0
64,true,true,0,1,0
65,true,true,0,1,0
66,false,false,0,1,0
67,true,true,0,1,0
68,false,false,0,1,0
69,true,true,0,1,0
70,true,true,0,1,0
71,true,true,0,1,0
72,false,false,0,1,0
73,false,true,3,1,0
74,false,false,3,1,0
75,true,true,3,1,0
76,false,false,3,1,0
77,false,false,3,1,0
78,true,true,3,1,0
79,false,false,3,1,0
80,true,true,3,1,0
81,false,false,3,1,0
82,true,true,3,1,0
